experiment_id,trial_id,timestamp,curve_name,curve_description,elo,tolerance,cp_loss,soundness_score,tol_at_min_elo,tol_at_max_elo
exp7,41,2026-02-25T14:04:23.321751+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,0,100,150.0,40.0
exp7,42,2026-02-25T14:04:23.321753+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,10,90,150.0,40.0
exp7,43,2026-02-25T14:04:23.321754+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,30,75,150.0,40.0
exp7,44,2026-02-25T14:04:23.321755+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,50,62,150.0,40.0
exp7,45,2026-02-25T14:04:23.321757+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,80,47,150.0,40.0
exp7,46,2026-02-25T14:04:23.321758+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,120,32,150.0,40.0
exp7,47,2026-02-25T14:04:23.321759+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,200,15,150.0,40.0
exp7,48,2026-02-25T14:04:23.321760+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),800,106.0,300,5,150.0,40.0
exp7,49,2026-02-25T14:04:23.321777+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,0,100,150.0,40.0
exp7,50,2026-02-25T14:04:23.321780+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,10,88,150.0,40.0
exp7,51,2026-02-25T14:04:23.321782+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,30,69,150.0,40.0
exp7,52,2026-02-25T14:04:23.321783+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,50,55,150.0,40.0
exp7,53,2026-02-25T14:04:23.321784+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,80,38,150.0,40.0
exp7,54,2026-02-25T14:04:23.321786+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,120,23,150.0,40.0
exp7,55,2026-02-25T14:04:23.321788+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,200,9,150.0,40.0
exp7,56,2026-02-25T14:04:23.321790+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1000,84.0,300,2,150.0,40.0
exp7,57,2026-02-25T14:04:23.321791+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,0,100,150.0,40.0
exp7,58,2026-02-25T14:04:23.321793+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,10,85,150.0,40.0
exp7,59,2026-02-25T14:04:23.321794+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,30,61,150.0,40.0
exp7,60,2026-02-25T14:04:23.321795+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,50,44,150.0,40.0
exp7,61,2026-02-25T14:04:23.321796+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,80,27,150.0,40.0
exp7,62,2026-02-25T14:04:23.321798+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,120,14,150.0,40.0
exp7,63,2026-02-25T14:04:23.321799+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,200,3,150.0,40.0
exp7,64,2026-02-25T14:04:23.321801+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),1200,62.0,300,0,150.0,40.0
